layer,head,source_position,dest_position,value
0,0,0,0,0.05994228273630142
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,
0,0,0,5,0.01895950362086296
0,0,0,6,0.042323317378759384
0,0,0,7,0.013753155246376991
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,
0,0,0,13,0.0
0,0,1,0,0.05122070759534836
0,0,1,1,0.01901102252304554
0,0,1,2,0.0
0,0,1,3,0.12176680564880371
0,0,1,4,
0,0,1,5,0.012731237336993217
0,0,1,6,0.06950435042381287
0,0,1,7,0.02867710590362549
0,0,1,8,0.0
0,0,1,9,0.01901102252304554
0,0,1,10,0.0
0,0,1,11,0.12176680564880371
0,0,1,12,
0,0,1,13,0.01901102252304554
0,0,2,0,0.0
0,0,2,1,0.0
0,0,2,2,0.0
0,0,2,3,0.0
0,0,2,4,0.0
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.0525088906288147
0,0,3,1,0.0
0,0,3,2,0.0
0,0,3,3,0.1221490353345871
0,0,3,4,
0,0,3,5,0.03116547502577305
0,0,3,6,0.04327118769288063
0,0,3,7,0.032822806388139725
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.1221490353345871
0,0,3,12,
0,0,3,13,0.0
0,0,4,0,
0,0,4,1,
0,0,4,2,0.0
0,0,4,3,
0,0,4,4,
0,0,4,5,
0,0,4,6,
0,0,4,7,
0,0,4,8,0.0
0,0,4,9,
0,0,4,10,0.0
0,0,4,11,
0,0,4,12,
0,0,4,13,
0,0,5,0,0.05994228273630142
0,0,5,1,0.0
0,0,5,2,0.0
0,0,5,3,0.0
0,0,5,4,
0,0,5,5,0.029576042667031288
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,
0,0,5,13,0.0
0,0,6,0,0.05994228273630142
0,0,6,1,0.0
0,0,6,2,0.0
0,0,6,3,0.0
0,0,6,4,
0,0,6,5,0.08210031688213348
0,0,6,6,0.09196335822343826
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,
0,0,6,13,0.0
0,0,7,0,0.05994228273630142
0,0,7,1,0.0
0,0,7,2,0.0
0,0,7,3,0.0
0,0,7,4,
0,0,7,5,0.016937242820858955
0,0,7,6,0.14802612364292145
0,0,7,7,0.014174668118357658
0,0,7,8,0.0
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,
0,0,7,13,0.0
0,0,8,0,0.0
0,0,8,1,0.0
0,0,8,2,0.0
0,0,8,3,0.0
0,0,8,4,0.0
0,0,8,5,0.0
0,0,8,6,0.0
0,0,8,7,0.0
0,0,8,8,0.0
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.05122070759534836
0,0,9,1,0.01901102252304554
0,0,9,2,0.0
0,0,9,3,0.12176680564880371
0,0,9,4,
0,0,9,5,0.012731237336993217
0,0,9,6,0.06950435042381287
0,0,9,7,0.02867710590362549
0,0,9,8,0.0
0,0,9,9,0.01901102252304554
0,0,9,10,0.0
0,0,9,11,0.12176680564880371
0,0,9,12,
0,0,9,13,0.01901102252304554
0,0,10,0,0.0
0,0,10,1,0.0
0,0,10,2,0.0
0,0,10,3,0.0
0,0,10,4,0.0
0,0,10,5,0.0
0,0,10,6,0.0
0,0,10,7,0.0
0,0,10,8,0.0
0,0,10,9,0.0
0,0,10,10,0.0
0,0,10,11,0.0
0,0,10,12,0.0
0,0,10,13,0.0
0,0,11,0,0.0525088906288147
0,0,11,1,0.0
0,0,11,2,0.0
0,0,11,3,0.1221490353345871
0,0,11,4,
0,0,11,5,0.03116547502577305
0,0,11,6,0.04327118769288063
0,0,11,7,0.032822806388139725
0,0,11,8,0.0
0,0,11,9,0.0
0,0,11,10,0.0
0,0,11,11,0.1221490353345871
0,0,11,12,
0,0,11,13,0.0
0,0,12,0,
0,0,12,1,
0,0,12,2,0.0
0,0,12,3,
0,0,12,4,
0,0,12,5,
0,0,12,6,
0,0,12,7,
0,0,12,8,0.0
0,0,12,9,
0,0,12,10,0.0
0,0,12,11,
0,0,12,12,
0,0,12,13,
0,0,13,0,0.05122070759534836
0,0,13,1,0.01901102252304554
0,0,13,2,0.0
0,0,13,3,0.12176680564880371
0,0,13,4,
0,0,13,5,0.012731237336993217
0,0,13,6,0.06950435042381287
